School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Season
Pittsburgh,32,11,21,0.344,0.45,6.98,1969,2178,64.2,95.8,0.394,0.336,0.509,52.1,52.1,8.4,12.4,0.467,18.4,30.5,0.274,2021
Portland,34,19,15,0.559,-1.71,-1.11,2524,2454,72,102.7,0.35,0.384,0.551,50.2,56.8,7,6.8,0.504,16.4,23.9,0.277,2021
Portland State,31,14,17,0.452,-7.7,-5.67,2280,2237,72.2,101,0.318,0.336,0.52,47.1,42.9,12.8,9.4,0.481,14.9,27.3,0.236,2021
Prairie View,27,8,19,0.296,-10.47,-3.66,1877,2061,71.8,95.5,0.385,0.327,0.524,49.1,47.7,11.7,8.2,0.484,20.8,31.7,0.271,2021
Presbyterian,32,12,20,0.375,-8.47,-3.65,2170,2174,66.5,98.5,0.315,0.36,0.502,53.1,50.8,11.5,8.4,0.471,16.7,33.9,0.212,2021
Princeton,30,23,7,0.767,2.65,-3.95,2395,2103,68.7,114.7,0.208,0.453,0.584,51.4,51,8.9,4.4,0.575,12.9,25.8,0.133,2021
Providence NCAA,33,27,6,0.818,13.08,7.75,2360,2184,65.9,106.4,0.37,0.38,0.54,52.2,54.1,7.5,9.7,0.5,14.7,30.3,0.269,2021
Purdue NCAA,37,29,8,0.784,19.15,8.23,2936,2532,66.7,117.8,0.382,0.392,0.593,57.1,58.6,6.9,9.7,0.565,15,35.2,0.272,2021
Purdue Fort Wayne,33,21,12,0.636,-5.59,-6.69,2424,2298,69.4,104.3,0.273,0.444,0.568,48.1,53.8,12.4,7.4,0.54,17.2,23.2,0.204,2021
Quinnipiac,31,14,17,0.452,-5.56,-4.2,2226,2216,69.3,103.2,0.266,0.438,0.54,50.7,56.5,9.1,5.7,0.507,16.3,28.7,0.203,2021
Radford,29,11,18,0.379,-9.23,-3.9,1832,1955,65.4,95.3,0.278,0.408,0.503,50.3,47.4,10,4.7,0.477,18,28.9,0.186,2021
Rhode Island,31,15,16,0.484,2.92,1.22,2081,2015,68.2,98.5,0.36,0.292,0.527,51.5,54.2,10.8,18.2,0.505,18.3,28.6,0.223,2021
Rice,33,16,17,0.485,-2.74,-1.19,2446,2421,68.4,106.8,0.305,0.424,0.564,50.8,59.1,7.4,4.5,0.537,16,26.6,0.218,2021
Richmond NCAA,37,24,13,0.649,7.07,4.48,2628,2532,67.4,104.8,0.31,0.417,0.542,47.6,57.4,11.2,6.3,0.511,13,22.4,0.223,2021
Rider,33,14,19,0.424,-5.87,-3.56,2237,2286,68.3,98.2,0.273,0.286,0.496,50.5,50.8,9.9,7.7,0.46,14.8,29.3,0.201,2021
Robert Morris,32,8,24,0.25,-12.5,-5.47,2220,2390,67.7,101.7,0.283,0.319,0.551,49.3,49.2,8.8,10.1,0.517,18.4,28.5,0.215,2021
Rutgers NCAA,32,18,14,0.563,8.78,6.81,2192,2129,65.5,102.9,0.262,0.316,0.525,51.4,58.8,10.6,11.7,0.499,15,29.6,0.184,2021
Sacramento State,29,11,18,0.379,-12.06,-5.36,1898,2035,66.4,98.1,0.283,0.338,0.518,46.5,45.8,8.9,8.1,0.492,14.9,22.4,0.192,2021
Sacred Heart,30,10,20,0.333,-13.41,-8.79,2180,2254,69.3,104,0.247,0.39,0.538,50.9,54,7.8,5.7,0.512,17,31.8,0.179,2021
Saint Francis (PA),30,9,21,0.3,-14.57,-7.91,2058,2205,68.9,98.4,0.301,0.311,0.498,49.3,50.9,9.4,7.3,0.472,15.5,31,0.195,2021
Saint Joseph's,30,11,19,0.367,1,2.46,2028,2072,68.5,97.9,0.229,0.449,0.515,51.7,54.4,7.1,5.9,0.497,17.1,27,0.15,2021
Saint Louis,35,23,12,0.657,9.83,3.45,2666,2376,69,109.2,0.322,0.306,0.553,54.5,54,9.2,8.4,0.515,15.7,34.4,0.246,2021
Saint Mary's (CA) NCAA,34,26,8,0.765,14.82,6.58,2370,2061,65.5,106.5,0.24,0.363,0.556,53.4,51.6,10.6,6.6,0.528,15.2,27.8,0.182,2021
Saint Peter's NCAA,34,22,12,0.647,2.96,-0.47,2277,2125,66.7,99.7,0.371,0.303,0.519,51.5,52.4,10.5,14.8,0.48,17.2,31.3,0.26,2021
Sam Houston,33,19,14,0.576,0.07,-1.16,2272,2082,68.8,99.7,0.244,0.422,0.513,52.2,55.1,11,8.1,0.499,15.8,27.9,0.148,2021
Samford,32,21,11,0.656,-3.01,-1.76,2390,2363,70.5,105.1,0.283,0.435,0.548,51.1,48,10.5,9.2,0.519,16.8,30.6,0.207,2021
San Diego,31,15,16,0.484,-3.32,1.48,2041,2086,67.4,96.9,0.258,0.283,0.506,50.6,40,7.5,8.6,0.476,16.1,27,0.184,2021
San Diego State NCAA,32,23,9,0.719,13.13,5.85,2093,1860,65.3,99,0.311,0.308,0.518,51.5,50.2,11.3,14.4,0.487,16.8,29.5,0.215,2021
San Francisco NCAA,34,24,10,0.706,14.12,5.24,2630,2304,70.9,108.7,0.29,0.453,0.56,53.4,46.9,10.8,11.6,0.537,15.6,30.2,0.201,2021
San Jose State,31,8,23,0.258,-7.01,3.79,1993,2242,66.3,96.5,0.223,0.451,0.525,46.2,55,7.8,8.2,0.507,17.7,22.4,0.147,2021
Santa Clara,33,21,12,0.636,8.98,3.61,2550,2373,71.4,107.8,0.276,0.321,0.575,50.4,52.5,8.3,8.8,0.545,14.7,22.8,0.21,2021
Seattle,32,23,9,0.719,1.96,-4.1,2395,2132,71.8,103.8,0.28,0.458,0.531,50.3,52.6,9.6,10.1,0.494,14.1,26.4,0.214,2021
Seton Hall NCAA,32,21,11,0.656,12.75,8.52,2302,2125,68.7,104.3,0.312,0.359,0.521,51.8,40.8,10.2,13.8,0.481,14.9,32.6,0.235,2021
Siena,29,15,14,0.517,-6.4,-3.5,1922,2006,67.2,97.4,0.289,0.34,0.521,48.2,42.1,9.1,9.8,0.487,16.5,24.5,0.212,2021
South Alabama,33,21,12,0.636,0.23,-3.59,2362,2111,67.5,105.2,0.317,0.354,0.547,49.8,45.5,10.2,14.3,0.519,16.2,28.9,0.219,2021
South Carolina,31,18,13,0.581,7.14,8.37,2200,2178,72.2,97.9,0.286,0.349,0.506,51.3,53.6,10.8,13.7,0.479,17.8,34.3,0.192,2021
South Carolina State,31,15,16,0.484,-13.04,-8.39,2227,2249,73.7,96.3,0.312,0.324,0.478,52.9,47.6,8.9,10.1,0.441,16.4,35.7,0.215,2021
South Carolina Upstate,32,15,17,0.469,-9.01,-4.11,2287,2341,69.4,102.1,0.29,0.386,0.551,47.4,53.7,9.1,9.8,0.518,16.4,22.7,0.219,2021
South Dakota,31,19,12,0.613,-4.43,-5.61,2329,2198,67.5,110.5,0.337,0.332,0.564,52.9,44.6,6.5,6.6,0.528,13,27.1,0.253,2021
South Dakota State NCAA,35,30,5,0.857,6.6,-3.77,3005,2561,71.7,119.3,0.333,0.354,0.627,52.7,49,8.5,6.9,0.6,13.8,24,0.253,2021
South Florida,31,8,23,0.258,-3.05,4.4,1781,2012,65.9,87.2,0.254,0.306,0.444,50,50.6,9.4,11.9,0.413,16.2,29.6,0.169,2021
Southeast Missouri State,32,14,18,0.438,-7.19,-4.69,2418,2473,72.6,103.7,0.366,0.436,0.551,48.1,54.5,8.9,7.3,0.512,16.1,25.7,0.268,2021
Southeastern Louisiana,34,19,15,0.559,-9.03,-5.77,2679,2643,73.4,106.9,0.369,0.426,0.575,47.5,57,10.8,10,0.536,17.3,27,0.28,2021
Southern,31,17,14,0.548,-5.17,-6.9,2229,2105,72.1,99.3,0.347,0.336,0.533,47.7,52.5,14.5,7.8,0.5,17.7,27.7,0.242,2021
Southern California NCAA,34,26,8,0.765,12.5,6.09,2461,2243,67.5,106.5,0.309,0.322,0.536,54.3,53.3,7.4,11.1,0.512,15.3,33.5,0.205,2021
Southern Illinois,31,16,15,0.516,2.83,0.73,1985,1902,62.9,101.7,0.29,0.422,0.545,49.6,52.2,8.7,6,0.52,16.3,22.7,0.2,2021
SIU Edwardsville,32,11,21,0.344,-10.37,-4.71,2161,2238,69.1,96.6,0.336,0.35,0.504,51.4,51,10.2,11.1,0.469,18.4,34.1,0.232,2021
Southern Methodist,33,24,9,0.727,11.14,4.44,2436,2215,69.5,105.8,0.356,0.422,0.555,50.5,55.3,9,10.4,0.515,15.6,27.6,0.267,2021
Southern Mississippi,33,7,26,0.212,-13.58,-0.38,2126,2471,68.3,93.6,0.27,0.303,0.505,48,50.7,7.3,8.1,0.477,17.3,23.6,0.186,2021
Southern Utah,35,23,12,0.657,-1.51,-4.57,2720,2538,70.8,108.3,0.338,0.408,0.561,53.4,43.9,8.4,6.9,0.531,15.5,28.7,0.241,2021
St. Bonaventure,33,23,10,0.697,8.27,4.79,2309,2194,66.2,105.2,0.259,0.315,0.536,50,52,9.5,14.9,0.505,13.7,26.9,0.195,2021
St. Francis (NY),30,10,20,0.333,-13.49,-7.93,2017,2116,68.2,97.7,0.243,0.366,0.496,49.4,47.9,9.7,6.6,0.467,15.4,30,0.173,2021
St. John's (NY),32,17,15,0.531,11.95,6.51,2547,2373,74.2,106.4,0.261,0.324,0.53,49.3,61.9,11.8,14.5,0.508,13.7,30.7,0.176,2021
St. Thomas,30,10,20,0.333,-11.15,-5.59,2241,2260,68.2,109.5,0.223,0.515,0.558,45.5,47.1,7.6,3.8,0.533,10.8,18,0.169,2021
Stanford,32,16,16,0.5,6.27,8.59,2124,2198,66.8,99,0.299,0.387,0.522,55.1,54.4,8.3,7.6,0.498,19.1,33.8,0.197,2021
Stephen F. Austin,32,22,10,0.688,2.43,-1.6,2385,2190,71.9,103.3,0.353,0.309,0.552,51.9,54.8,12.6,11.9,0.525,19.6,34.5,0.239,2021
Stetson,30,11,19,0.367,-10.34,-4.07,2090,2144,67.5,101.5,0.248,0.41,0.525,51,56.2,10.3,8.4,0.502,16.4,29.6,0.171,2021
Stony Brook,31,18,13,0.581,-6.63,-5.43,2261,2267,68.6,105.9,0.269,0.403,0.539,48.8,42.5,9.7,8.1,0.506,13.5,27,0.203,2021
Syracuse,33,16,17,0.485,10.12,7.82,2553,2477,68.5,110.9,0.283,0.392,0.555,49,52.7,10,11.6,0.525,13.3,29.2,0.208,2021
Tarleton State,31,14,17,0.452,-3.18,-0.5,2002,2025,65.7,97.8,0.343,0.304,0.511,47.1,49.5,11.6,7.4,0.465,16.2,28,0.259,2021
TCU NCAA,34,21,13,0.618,13.72,10.16,2328,2207,67.2,101.1,0.314,0.317,0.516,56,53.8,9.5,11.2,0.487,17.9,37.8,0.212,2021
Temple,29,17,12,0.586,4.61,4.3,1936,1927,67.1,98.6,0.397,0.382,0.495,51.7,52.7,10,12.6,0.454,15.7,32.7,0.269,2021
Tennessee NCAA,35,27,8,0.771,20.46,9.94,2571,2203,68.6,106.2,0.29,0.402,0.536,52.2,63,13.5,12.9,0.507,15.2,32.5,0.207,2021
Tennessee State,32,14,18,0.438,-9.34,-7.31,2282,2246,69.8,101.8,0.318,0.326,0.535,51.1,47.6,9.6,9.7,0.502,17.2,30.3,0.227,2021
Tennessee Tech,32,11,21,0.344,-7.27,-3.03,2328,2357,70.6,102.2,0.235,0.328,0.524,50.9,57.1,10.2,10,0.505,16,31.6,0.155,2021
Tennessee-Martin,30,8,22,0.267,-11.13,-3.02,2067,2206,70.6,97.6,0.263,0.373,0.5,49.5,46.3,9.4,12.2,0.471,16.2,30.5,0.184,2021
Texas NCAA,34,22,12,0.647,17.01,8.87,2339,2062,64.5,105.9,0.32,0.361,0.538,50.8,54.1,11.8,10.1,0.501,15.3,31.5,0.239,2021
Texas A&M,40,27,13,0.675,12.93,7.42,2908,2643,68.6,104.7,0.353,0.342,0.533,50.5,52.3,14.3,9.9,0.499,16.1,34.3,0.249,2021
Texas A&M-Corpus Christi NCAA,35,23,12,0.657,-6.78,-9.1,2682,2454,72.3,105.5,0.364,0.313,0.537,53,56,11.7,5.6,0.495,16.5,34.6,0.269,2021
Texas Southern NCAA,32,19,13,0.594,-3.3,-6.24,2209,2115,69.7,98.6,0.336,0.309,0.514,53.2,42.7,7.9,13.6,0.482,18.2,33,0.228,2021
Texas State,29,21,8,0.724,0.14,-2.86,2043,1834,65.6,107,0.318,0.306,0.555,51.9,47.9,9.8,11.1,0.52,16.3,31.6,0.239,2021
Texas Tech NCAA,37,27,10,0.73,20.08,8.65,2667,2244,67.3,106,0.351,0.341,0.556,54.6,52.2,11.8,12,0.526,17.2,33.2,0.245,2021
Texas-Rio Grande Valley,31,8,23,0.258,-10.18,-1.28,2212,2438,73.2,97.5,0.416,0.374,0.536,47.2,49.9,7.1,8.5,0.498,18.8,25.1,0.289,2021
The Citadel,31,13,18,0.419,-6.8,-1.97,2381,2382,71,106,0.295,0.498,0.554,49.5,59.7,6.5,9.1,0.533,14.9,25.4,0.198,2021
Toledo,34,26,8,0.765,6.26,-3.22,2717,2334,70.3,113.7,0.28,0.313,0.565,53.2,51,7.9,7.5,0.535,12.6,30.3,0.211,2021
Towson,34,25,9,0.735,6.47,-2.15,2478,2185,66.2,109.7,0.339,0.382,0.549,54.5,52.6,10.9,8.5,0.516,15.2,35.2,0.243,2021
Troy,32,20,12,0.625,-3.56,-3.52,2214,2100,68.6,99.3,0.329,0.405,0.528,52.5,57.3,11.3,6.3,0.491,19,31.6,0.24,2021
Tulane,29,14,15,0.483,6.74,5.33,2121,2080,69.3,104.1,0.334,0.386,0.551,44.7,53.4,11.3,10,0.512,13.7,19.9,0.252,2021
Tulsa,31,11,20,0.355,1.56,4.07,2089,2167,67.3,100.1,0.31,0.361,0.53,48.4,49,10.2,7.2,0.496,16.8,26.7,0.225,2021
UAB NCAA,35,27,8,0.771,10.9,-0.14,2811,2336,70.4,112.9,0.284,0.332,0.56,53.1,43.8,13.4,11.6,0.53,13.8,33.7,0.21,2021
UC Davis,24,13,11,0.542,-3.7,-4.29,1628,1593,67.9,99.4,0.291,0.321,0.524,49.3,45.3,8.8,7.8,0.493,16.2,26,0.205,2021
UC Irvine,25,15,10,0.6,1.59,-0.93,1656,1507,66.1,100.3,0.296,0.282,0.527,53,44.8,9.1,9.4,0.488,17.7,30.7,0.227,2021
UC Riverside,28,16,12,0.571,-0.92,-1.89,1865,1784,66.1,99.5,0.268,0.407,0.536,52.1,54.6,7.8,3.3,0.507,16.5,24.1,0.193,2021
UC San Diego,29,13,16,0.448,-7.04,-3.78,2036,2046,68.5,102,0.321,0.456,0.562,46.4,56.7,8.4,4.6,0.528,16.7,18.5,0.24,2021
UC Santa Barbara,28,17,11,0.607,1.38,-4.39,2066,1841,67,107.8,0.374,0.3,0.574,53.2,58,9.1,7.7,0.544,17.1,29.3,0.265,2021
UCF,30,18,12,0.6,6.23,4.63,2095,2047,68.1,102.2,0.285,0.431,0.528,49.7,58.8,10.2,10.9,0.499,16.5,30.8,0.201,2021
UCLA NCAA,35,27,8,0.771,19.3,8.36,2639,2256,66.5,111.4,0.294,0.312,0.539,52.5,50.3,10.3,9.6,0.505,11.3,31.4,0.218,2021
UNC Asheville,32,17,15,0.531,-4.52,-5.28,2410,2201,68,108.3,0.368,0.398,0.565,48.7,49,9.3,12.2,0.53,15.6,27.7,0.267,2021
UNC Greensboro,32,17,15,0.531,-2.47,-1.99,2083,2079,63.2,101.8,0.278,0.393,0.528,54,51.5,10,5.8,0.498,17.4,33.3,0.2,2021
UNC Wilmington,36,27,9,0.75,-0.66,-2.84,2596,2483,66.7,105.8,0.336,0.362,0.526,47.5,42.4,11.2,10.7,0.485,12.8,28,0.249,2021
UT Arlington,29,11,18,0.379,-5.49,-0.94,1948,1993,66.5,97.6,0.288,0.346,0.505,50.1,57,11.4,12.2,0.473,17.4,31.6,0.202,2021
Utah,31,11,20,0.355,5.45,6.61,2161,2197,67.2,102.9,0.3,0.394,0.526,50.2,55.5,6.8,7.5,0.484,15.6,29.3,0.232,2021
Utah State,34,18,16,0.529,10.41,4.53,2497,2273,67.3,107.5,0.287,0.402,0.571,53,66.6,9,6.2,0.545,16.2,26.3,0.207,2021
Utah Tech,31,13,18,0.419,-8.53,-0.53,2247,2296,73.9,97.6,0.346,0.374,0.517,50.4,60.3,9,6.3,0.485,17.7,28.3,0.235,2021
Utah Valley,32,20,12,0.625,2.37,-1.6,2279,2084,68.2,102.5,0.382,0.313,0.549,55.8,59.5,7.9,11.8,0.512,19.2,32.8,0.272,2021
UTEP,34,20,14,0.588,0.27,-0.48,2352,2265,67.9,101.1,0.277,0.38,0.533,47.1,49,10.9,9.9,0.497,15.2,23.5,0.212,2021
UTSA,32,10,22,0.313,-10.46,-1.49,2153,2313,70,95.7,0.265,0.338,0.476,50.9,46,8.1,7.2,0.445,15.2,31,0.181,2021
Valparaiso,32,14,18,0.438,-1.61,0.83,2264,2257,67.4,101.8,0.262,0.38,0.553,49.2,47.8,9.2,8,0.523,14.7,16.9,0.199,2021
Vanderbilt,36,19,17,0.528,11,8.05,2548,2442,68.9,102,0.387,0.456,0.538,49.6,49.8,10.4,10,0.502,16.6,27.5,0.27,2021
Vermont NCAA,34,28,6,0.824,7.81,-5.7,2544,2065,65.1,114.4,0.265,0.43,0.594,54.7,55,7.8,7.2,0.57,13.2,24.3,0.197,2021
Villanova NCAA,38,30,8,0.789,19.31,10.29,2726,2383,63.6,112.4,0.298,0.463,0.56,51.5,48.9,9.4,6.8,0.515,13.4,31.2,0.247,2021
Virginia,35,21,14,0.6,8.88,6.6,2184,2104,59.9,103.7,0.281,0.299,0.529,49.9,60.3,9.5,12.9,0.497,14.1,27.8,0.205,2021
Virginia Commonwealth,32,22,10,0.688,9.83,5.17,2146,1997,68.6,97.4,0.309,0.302,0.543,48.6,56.1,13.3,14.7,0.514,19.6,26.6,0.218,2021
VMI,32,16,16,0.5,-2.47,-2.05,2529,2375,69.2,112.9,0.25,0.55,0.593,49.7,58.3,6.9,8,0.564,14.8,24.4,0.198,2021
Virginia Tech NCAA,36,23,13,0.639,14.48,6.48,2549,2261,63.6,111,0.245,0.411,0.576,51.4,55.2,8.4,9.3,0.551,15,27.9,0.184,2021
Wagner,27,21,6,0.778,-1.12,-9.01,2010,1747,68.3,107,0.323,0.3,0.54,53.6,52.6,12,8.7,0.506,15.4,33.9,0.234,2021
Wake Forest,35,25,10,0.714,13.24,4.75,2749,2452,71.2,108.7,0.336,0.424,0.585,52.2,53.9,9,10.1,0.556,17.2,26.8,0.245,2021
Washington,32,17,15,0.531,5.03,6.72,2260,2314,70.4,99.1,0.347,0.329,0.503,46.2,41,11.6,10.5,0.464,14.5,29.3,0.244,2021
Washington State,37,22,15,0.595,12.57,5.97,2644,2400,67.4,105.6,0.298,0.442,0.517,51.4,45.8,9.5,12.3,0.479,14,33.4,0.222,2021
Weber State,33,21,12,0.636,-1.73,-5.21,2513,2319,71.1,106.8,0.377,0.377,0.577,49,40,10.7,7.1,0.539,15,20.7,0.282,2021
West Virginia,33,16,17,0.485,10.23,10.74,2259,2276,68.5,99.9,0.361,0.337,0.511,47.2,44.4,11.4,13.1,0.468,15.7,29.9,0.262,2021
Western Carolina,32,11,21,0.344,-10.48,-1.9,2261,2472,69.3,100.8,0.278,0.511,0.509,50,52.4,7,7.1,0.483,15.2,29.4,0.187,2021
Western Illinois,32,16,16,0.5,-6.34,-5.51,2493,2470,72.4,106,0.302,0.409,0.532,51.7,41.1,8.5,6.3,0.502,13.5,28.7,0.214,2021
Western Kentucky,32,19,13,0.594,3.3,0.23,2414,2214,71,106.3,0.302,0.369,0.56,48.8,50.5,11.9,16.9,0.533,15.3,24.6,0.215,2021
Western Michigan,31,8,23,0.258,-13.51,-2.3,2027,2329,66.5,97.1,0.251,0.454,0.522,47.9,43.7,7.9,6.5,0.496,17.9,26.6,0.176,2021
Wichita State,28,15,13,0.536,8.11,6,1917,1858,67.8,99.6,0.317,0.414,0.51,51.5,51.1,11,12.6,0.467,16.1,32.3,0.239,2021
William & Mary,32,5,27,0.156,-13.91,-1.88,2044,2380,69.9,90.3,0.3,0.39,0.497,49.7,50.7,9.3,8.5,0.462,20.2,26.9,0.211,2021
Winthrop,32,23,9,0.719,-1.56,-3.63,2407,2246,69.3,107.3,0.369,0.429,0.591,52,50.8,9.2,7.7,0.565,18.7,26.7,0.258,2021
Wisconsin NCAA,33,25,8,0.758,13.13,9.16,2308,2177,67,104.4,0.324,0.36,0.518,50.1,44.8,7.9,7.8,0.477,11.4,26,0.241,2021
Wofford,32,19,13,0.594,2.01,-1.55,2322,2120,65.6,110.2,0.287,0.485,0.581,53,52,10.5,5.2,0.551,15.7,28.3,0.218,2021
Wright State NCAA,36,22,14,0.611,-1.94,-5.11,2729,2585,70,108.3,0.318,0.327,0.554,50.9,51.3,8.4,7.6,0.516,15.2,30.8,0.244,2021
Wyoming NCAA,34,25,9,0.735,9.36,3.6,2466,2227,66.3,107.8,0.359,0.431,0.565,52,44.7,5.8,5.4,0.531,15,25.5,0.26,2021
Xavier,36,23,13,0.639,13.23,8.34,2668,2492,69.1,105.8,0.353,0.356,0.541,51.9,55.9,10.7,11.4,0.509,14.6,29.3,0.246,2021
Yale NCAA,31,19,12,0.613,-0.1,-1.34,2226,2143,70.3,101.8,0.321,0.359,0.537,50.2,46.7,8.8,9.3,0.501,16.1,25.7,0.236,2021
Youngstown State,34,19,15,0.559,-6.28,-7.12,2470,2374,67.6,107.1,0.307,0.381,0.55,51.6,45.9,7.9,6.9,0.513,15.1,30.5,0.234,2021
